Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
ALBANY FIRE DEPARTMENT,01001,26 BROAD STREET,ALBANY,NY,12202-0000,01,Albany,5184477879,42.662577,-73.759898,"(42.662577, -73.759898)"
ALTAMONT FIRE DEPARTMENT,01002,115 MAIN STREET PO BOX 642,ALTAMONT,NY,12009,01,Albany,5188618171,42.702865,-74.02531,"(42.702865, -74.02531)"
BERNE FIRE DEPARTMENT,01003,CANADAY ROAD,BERNE,NY,12023,01,Albany,5188720470,42.612842,-74.070082,"(42.612842, -74.070082)"
BOGHT COMMUNITY FIRE DEPARTMENT,01004,1095 LOUDON ROAD,COHOES,NY,12047,01,Albany,5187850339,42.783571,-73.743969,"(42.783571, -73.743969)"
COEYMANS FIRE DEPARTMENT,01005,67 CHURCH STREET,COEYMANS,NY,12045,01,Albany,5187562027,42.474106,-73.798832,"(42.474106, -73.798832)"
COEYMANS HOLLOW FIRE DEPARTMENT,01006,1290 ROUTE 143,COEYMANS HOLLOW,NY,12046,01,Albany,5187566310,42.48034,-73.92286,"(42.48034, -73.92286)"
COHOES FIRE DEPARTMENT,01007,97 MOHAWK STREET,COHOES,NY,12047,01,Albany,5182372125,42.774511,-73.700005,"(42.774511, -73.700005)"
COLONIE FIRE DEPARTMENT,01008,1631 CENTRAL AVENUE,ALBANY,NY,12205,01,Albany,5188699306,42.719292,-73.834697,"(42.719292, -73.834697)"
DELMAR FIRE DEPARTMENT,01009,145 ADAMS STREET,DELMAR,NY,12054,01,Albany,5184757310,42.621806,-73.83503,"(42.621806, -73.83503)"
ELSMERE FIRE DEPARTMENT,01010,15 WEST POPLAR DRIVE,DELMAR,NY,12054,01,Albany,5184399144,42.624501,-73.819623,"(42.624501, -73.819623)"
FORT HUNTER FIRE DEPARTMENT,01011,3525 CARMAN ROAD,SCHENECTADY,NY,12303,01,Albany,5183552434,42.7403,-73.942101,"(42.7403, -73.942101)"
FULLER ROAD FIRE DEPARTMENT,01012,1342 CENTRAL AVENUE,ALBANY,NY,12205,01,Albany,5184894421,42.702595,-73.815808,"(42.702595, -73.815808)"
GREEN ISLAND FIRE DEPARTMENT,01013,7  CLINTON STREET,GREEN ISLAND,NY,12183,01,Albany,5182731041,42.742022,-73.692784,"(42.742022, -73.692784)"
GUILDERLAND FIRE DEPARTMENT,01014,2303 WESTERN AVE,GUILDERLAND,NY,12084,01,Albany,5184565000,42.703916,-73.91061,"(42.703916, -73.91061)"
GUILDERLAND CENTER FIRE DEPT,01015,30 SCHOOL ROAD,GUILDERLAND CENTER,NY,12085,01,Albany,5188618871,42.701834,-73.966158,"(42.701834, -73.966158)"
KNOX FIRE DEPARTMENT,01016,2198 BERNE ALTAMONT ROAD,KNOX,NY,12107,01,Albany,5188720368,42.668944,-74.119396,"(42.668944, -74.119396)"
LATHAM FIRE DEPARTMENT,01017,226 OLD LOUDON ROAD,LATHAM,NY,12110,01,Albany,5187855060,42.748925,-73.758425,"(42.748925, -73.758425)"
MEDUSA FIRE DEPARTMENT,01018,458 CR 351,MEDUSA,NY,12120,01,Albany,5182396006,42.436845,-74.12705,"(42.436845, -74.12705)"
MAPLEWOOD FIRE DEPARTMENT,01019,61 COHOES ROAD,WATERVLIET,NY,12189,01,Albany,5182731200,42.746005,-73.700941,"(42.746005, -73.700941)"
MC KOWNVILLE FIRE DEPARTMENT,01020,1250 WESTERN AVENUE,ALBANY,NY,12203,01,Albany,5184894340,42.67876,-73.830528,"(42.67876, -73.830528)"
MENANDS FIRE DEPARTMENT,01021,250 BROADWAY,MENANDS,NY,12204,01,Albany,5184639494,42.68282,-73.73486,"(42.68282, -73.73486)"
MIDWAY FIRE DEPARTMENT,01022,1956 CENTRAL AVENUE,ALBANY,NY,12205,01,Albany,5184561993,42.739023,-73.857362,"(42.739023, -73.857362)"
NEW SALEM FIRE DEPARTMENT,01023,694 NEW SALEM ROAD,VOORHEESVILLE,NY,12186,01,Albany,5187652244,42.625059,-73.968935,"(42.625059, -73.968935)"
NORTH BETHLEHEM FIRE DEPARTMENT,01024,589 RUSSELL ROAD,ALBANY,NY,12203,01,Albany,5184896556,42.664105,-73.84205,"(42.664105, -73.84205)"
ONESQUETHAW FIRE DEPARTMENT,01025,2178 TARRYTOWN RD PO BOX E,CLARKSVILLE,NY,12041,01,Albany,5184682823,42.57541,-73.96359,"(42.57541, -73.96359)"
RAVENA FIRE DEPARTMENT,01026,116 MAIN STREET PO BOX 207,RAVENA,NY,12143,01,Albany,5187562089,42.471694,-73.810532,"(42.471694, -73.810532)"
RENSSELAERVILLE FIRE DEPARTMENT,01027,21 RICE RD PO BOX 134,RENSSELAERVILLE,NY,12147,01,Albany,5187975269,42.518434,-74.138762,"(42.518434, -74.138762)"
SCHUYLER HEIGHTS FIRE DEPT,01028,900 FIRST STREET,WATERVLIET,NY,12189,01,Albany,5182717851,42.710658,-73.720103,"(42.710658, -73.720103)"
