Name,Rank,Fire Department,Date of Death,Location on Memorial
Abe Dias,Firefighter,Haverstraw Fire Department,01/08/1906,20 Bottom
Abraham Price,Captain,Rochester Fire Department,04/26/1924,  5 Top
Adam Damm,Firefighter,New York City Fire Department,02/27/1907,  6 Bottom
Adam D. Rand,Firefighter,New York City Fire Department,09/11/2001,16 Top
Adam Fisher,Captain,Buffalo Fire Department,01/23/1891,14 Bottom
A. David Feluren,Foreman,Scotia Fire Department,08/26/1976,  8 Top
Adolfo Otaño ,Firefighter ,New York City Fire Department ,11/08/2013,  4 Bottom
Adolph A. D’ Ambrosio,Firefighter,New York City Fire Department,07/04/1975,  8 Top
Adolph L. Wiemer,Hoseman,Rochester Fire Department,05/20/1939,17 Top
Adrian B. Curnan,Firefighter,New York City Fire Department,06/19/1922,  6 Top
Adrian C. Snyder,Firefighter,Caton Fire Department,08/26/1976,  8 Top
Alan D. Feinbert,Firefighter ,New York City Fire Department,09/11/2001,10 Top
Alan E. Jones,Firefighter,New Rochelle Fire Department,10/08/1983,12 Top
Alan F. Hogancamp,Fire Police,Elsmere Fire Department,03/06/1981,  1 Bottom
Albert DeCourville,Firefighter,Troy Fire Department,04/18/1917,  2 Top
Albert E. Donovan,Lieutenant,New York City Fire Department,01/21/1924,  5 Top
Albert E. Donovan,Lieutenant,New York City Fire Department,08/21/1923,  6 Top
Albert F. Fischer,Firefighter,Williston Park Fire Department,01/01/1982,12 Top
"Albert F. Rusack, Jr.",Firefighter,Salem Fire Department,10/02/1980,  9 Top
Albert F. Schrempf,Lieutenant,Syracuse Fire Department,01/12/1961,12 Bottom
Albert G. Young,Lieutenant,Syracuse Fire Department,02/03/1939,17 Top
"Albert J. DeFlumere, Jr.",Ex-Chief,Blauvelt Fire Company,10/26/1996,10 Top
Albert Mack,Firefighter,Rush Fire Department,12/29/1959,13 Top
Albert M. Weeks,Past Chief,Sayville Fire Department,06/01/1993,10 Top
Albert Rigali,Chief,Verdoy Fire Department,03/27/1970,  7 Top
Albert Sipple,Lieutenant,Bellmore Fire Department,07/16/1997,10 Top
Albino J. Norberto,Firefighter,Mamaroneck Fire Department,09/03/1973,  7 Top
Alexander Collie,Chief,North Lindenhurst Fire Department,01/14/1978,  9 Top
Alexander McKay,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
Alfons Richter,Firefighter,East Islip Fire Department,12/21/1947,15 Top
Alfred A. Wohrman,Firefighter/Commissioner,Beekman Volunteer Fire Department,04/16/2005,20 Bottom
Alfred Bauman,Firefighter,New York City Fire Department,11/22/1896,14 Bottom
Alfred Doerrer,Ex-Chief,New Hyde Park Fire Department,01/20/1969,  4 Top
Alfred E. Ronaldson,Firefighter,New York City Fire Department,03/05/1991,11 Top
Alfred F. Shoesmith,2nd Assistant Foreman,Jamestown Fire Department,03/16/1910,10 Bottom
Alfred Gracey,Ladderman,Rochester Fire Department,06/18/1916,  3 Top
Alfred H. Murphy,Lieutenant,Auburn City Fire Department,03/30/1960,  7 Bottom
Alfred J. Hynes     ,Firefighter    ,Ogdensburg Fire Department        ,10/25/1934,10 Bottom
Alfred M. Knecht,Captain,New York City Fire Department,03/01/1982,12 Top
Alfred S. Robinson,Firefighter,Ithaca Fire Department,12/07/1906,  4 Top
Allan J. Sweet,Lieutenant,New York City Fire Department,11/14/1973,  4 Bottom
Allan Tarasiewicz,Firefighter,New York City Fire Department,09/11/2001,  7 Top
Allen Frye,Captain,Roslyn Rescue Fire Department,03/25/2002,  7 Top
Al Petersen,Ex-Chief,Roslyn Highland Fire Department,07/03/1969,  9 Bottom
"Alston F. Hill, Sr.",Firefighter,Jamison Road Fire Department,03/28/1991,11 Top
Alton L. Lewis,Assistant Chief,Montour Falls Fire Department,11/29/1999,  1 Top
Andre G. Fletcher,Fire Marshal,New York City Fire Department,09/11/2001,  6 Top
Andrew A. Fredericks,Lieutenant,New York City Fire Department,09/11/2001,  3 Top
Andrew B. George,Firefighter,New York City Fire Department,01/03/1939,17 Top
Andrew B. Jordan,Firefighter,New York City Fire Department,09/11/2001,  4 Bottom
Andrew C. Brunn,Firefighter,New York City Fire Department,09/11/2001,11 Bottom
Andrew C. Schenck,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
"Andrew Harcher, Jr.",Firefighter,Wallkill Fire Company,02/21/1982,12 Top
Andrew J. Desperito,Lieutenant,New York City Fire Department,09/11/2001,13 Bottom
Andrew K. Wright,Firefighter,New York City Fire Department,05/04/1955,14 Top
Andrew L. Milyko,Firefighter,New York City Fire Department,07/01/1953,14 Top
"Andrew S. Usyk, Sr.",Firefighter,Schuyler Fire Department,03/03/1983,12 Top
"Angel C. Juarbe, Jr. ",Firefighter,New York City Fire Department,09/11/2001,18 Bottom
Anthony A. Kaiser,Firefighter,Narrowsburg Fire Department,03/17/2007,19 Bottom
Anthony Capozzi,Firefighter,Hy-View Fire Department,01/07/1987,11 Top
Anthony Carracciolo,Firefighter,New York City Fire Department,05/08/1855,18 Bottom
Anthony Ceravolo,Firefighter,Warwick Fire Department,01/01/1994,10 Top
Anthony DeFalco,Firefighter,New York City Fire Department,01/09/1974,  8 Top
Anthony F. Eisele,Chief,Roosevelt Fire Department,06/16/1957,15 Top
Anthony Galatifore,Ex-Chief,Selden Fire Department,09/03/1979,10 Bottom
Anthony Jireck,Battalion Chief,New York City Fire Department,01/27/1945,15 Top
Anthony J. LeoGrande,Firefighter,Oneonta Fire Department,09/08/1982,12 Top
Anthony J. Nuccio ,Firefighter ,New York City Fire Department ,06/07/2011,  4 Bottom
Anthony J. Waskielewicz,Firefighter,Buffalo Fire Department,12/27/1983,12 Top
Anthony M. Jovic,Lieutenant,New York City Fire Department,09/11/2001,15 Bottom
Anthony P. Longa,Firefighter,New York City Fire Department,03/31/1957,13 Top
"Anthony Prigitano, Sr.",Firefighter,Mt. Kisco Fire Department,01/01/1978,  9 Top
Anthony R. Martucci,Battalion Chief,New York City Fire Department,03/09/1961,12 Bottom
Anthony Rodriguez,Firefighter,New York City Fire Department,09/11/2001,  9 Bottom
